cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
>> Region Bernina,4604,2318,2286,4037,1988,2049,567,330,237
......3551 Brusio,1099,579,520,915,452,463,184,127,57
......3561 Poschiavo,3505,1739,1766,3122,1536,1586,383,203,180
>> Region Engiadina Bassa / Val Müstair,9120,4566,4554,7375,3672,3703,1745,894,851
......3746 Zernez,1592,802,790,1247,614,633,345,188,157
......3752 Samnaun,750,409,341,548,313,235,202,96,106
......3762 Scuol,4547,2252,2295,3565,1752,1813,982,500,482
......3764 Valsot,801,407,394,727,365,362,74,42,32
......3847 Val Müstair,1430,696,734,1288,628,660,142,68,74
>> Region Imboden,22131,11144,10987,17573,8610,8963,4558,2534,2024
......3721 Bonaduz,3565,1777,1788,3041,1474,1567,524,303,221
......3722 Domat/Ems,8390,4234,4156,6189,3020,3169,2201,1214,987
......3723 Rhäzüns,1612,844,768,1270,646,624,342,198,144
......3731 Felsberg,2886,1436,1450,2489,1220,1269,397,216,181
......3732 Flims,2900,1459,1441,2190,1063,1127,710,396,314
......3733 Tamins,1222,618,604,1037,517,520,185,101,84
......3734 Trin,1556,776,780,1357,670,687,199,106,93
>> Region Landquart,26673,13409,13264,22231,11005,11226,4442,2404,2038
......3945 Trimmis,3424,1742,1682,2970,1480,1490,454,262,192
......3946 Untervaz,2674,1350,1324,2343,1176,1167,331,174,157
......3947 Zizers,3691,1841,1850,3086,1507,1579,605,334,271
......3951 Fläsch,880,439,441,772,377,395,108,62,46
......3952 Jenins,965,493,472,853,429,424,112,64,48
......3953 Maienfeld,3266,1638,1628,2868,1428,1440,398,210,188
......3954 Malans,2529,1246,1283,2309,1139,1170,220,107,113
......3955 Landquart,9244,4660,4584,7030,3469,3561,2214,1191,1023
>> Region Maloja,18307,9191,9116,12567,6130,6437,5740,3061,2679
......3781 Bever,618,294,324,523,248,275,95,46,49
......3782 Celerina/Schlarigna,1414,717,697,1018,509,509,396,208,188
......3783 Madulain,196,101,95,151,78,73,45,23,22
......3784 Pontresina,2073,1012,1061,1406,663,743,667,349,318
......3785 La Punt Chamues-ch,750,375,375,570,276,294,180,99,81
......3786 Samedan,2900,1444,1456,2168,1064,1104,732,380,352
......3787 St. Moritz,4996,2518,2478,2791,1354,1437,2205,1164,1041
......3788 S-chanf,713,375,338,575,295,280,138,80,58
......3789 Sils im Engadin/Segl,708,365,343,473,243,230,235,122,113
......3790 Silvaplana,1124,588,536,756,372,384,368,216,152
......3791 Zuoz,1224,622,602,797,380,417,427,242,185
......3792 Bregaglia,1591,780,811,1339,648,691,252,132,120
>> Region Moesa,9351,4819,4532,6984,3451,3533,2367,1368,999
......3804 Buseno,91,43,48,84,38,46,7,5,2
......3805 Castaneda,254,119,135,218,98,120,36,21,15
......3808 Rossa,168,94,74,153,82,71,15,12,3
......3810 Santa Maria in Calanca,113,61,52,100,55,45,13,6,7
......3821 Lostallo,867,456,411,691,357,334,176,99,77
......3822 Mesocco,1414,742,672,1112,566,546,302,176,126
......3823 Soazza,324,171,153,263,132,131,61,39,22
......3831 Cama,720,381,339,501,244,257,219,137,82
......3832 Grono,1579,839,740,1065,539,526,514,300,214
......3834 Roveredo (GR),2656,1311,1345,1945,928,1017,711,383,328
......3835 San Vittore,961,496,465,682,327,355,279,169,110
......3837 Calanca,204,106,98,170,85,85,34,21,13
>> Region Plessur,44756,22162,22594,33854,16302,17552,10902,5860,5042
......3901 Chur,39174,19208,19966,29755,14199,15556,9419,5009,4410
......3911 Churwalden,2114,1113,1001,1526,786,740,588,327,261
......3921 Arosa,3159,1682,1477,2307,1180,1127,852,502,350
......3932 Tschiertschen-Praden,309,159,150,266,137,129,43,22,21
>> Region Prättigau / Davos,26681,13483,13198,20971,10380,10591,5710,3103,2607
......3851 Davos,10768,5407,5361,7572,3681,3891,3196,1726,1470
......3861 Fideris,626,308,318,578,282,296,48,26,22
......3862 Furna,203,102,101,193,98,95,10,4,6
......3863 Jenaz,1164,595,569,1051,532,519,113,63,50
......3871 Klosters,4478,2259,2219,3545,1751,1794,933,508,425
......3881 Conters im Prättigau,224,114,110,210,108,102,14,6,8
......3882 Küblis,910,454,456,718,345,373,192,109,83
......3891 Luzein,1689,885,804,1517,785,732,172,100,72
......3961 Grüsch,2176,1110,1066,1955,986,969,221,124,97
......3962 Schiers,2993,1508,1485,2362,1171,1191,631,337,294
......3972 Seewis im Prättigau,1450,741,709,1270,641,629,180,100,80
>> Region Surselva,21878,11248,10630,18684,9461,9223,3194,1787,1407
......3572 Falera,635,339,296,554,290,264,81,49,32
......3575 Laax,2102,1144,958,1679,887,792,423,257,166
......3581 Sagogn,769,401,368,680,356,324,89,45,44
......3582 Schluein,616,338,278,507,276,231,109,62,47
......3603 Vals,954,505,449,732,373,359,222,132,90
......3618 Lumnezia,2075,1094,981,1902,987,915,173,107,66
......3619 Ilanz/Glion,5066,2486,2580,4064,1958,2106,1002,528,474
......3672 Safiental,964,502,462,920,482,438,44,20,24
......3981 Breil/Brigels,1706,872,834,1549,799,750,157,73,84
......3982 Disentis/Mustér,2103,1092,1011,1736,870,866,367,222,145
......3983 Medel (Lucmagn),328,165,163,300,151,149,28,14,14
......3985 Sumvitg,1061,525,536,984,482,502,77,43,34
......3986 Tujetsch,1199,623,576,1028,521,507,171,102,69
......3987 Trun,1140,567,573,988,488,500,152,79,73
......3988 Obersaxen Mundaun,1160,595,565,1061,541,520,99,54,45
>> Region Viamala,14440,7267,7173,11862,5859,6003,2578,1408,1170
......3633 Fürstenau,353,162,191,311,137,174,42,25,17
......3637 Rothenbrunnen,304,164,140,273,145,128,31,19,12
......3638 Scharans,836,403,433,798,384,414,38,19,19
......3640 Sils im Domleschg,976,487,489,797,388,409,179,99,80
......3661 Cazis,2439,1264,1175,1976,999,977,463,265,198
......3662 Flerden,255,126,129,241,121,120,14,5,9
......3663 Masein,531,257,274,489,233,256,42,24,18
......3668 Thusis,3438,1760,1678,2221,1089,1132,1217,671,546
......3669 Tschappina,146,78,68,140,77,63,6,1,5
......3670 Urmein,162,81,81,150,77,73,12,4,8
......3673 Domleschg,2262,1098,1164,2107,1021,1086,155,77,78
......3681 Avers,169,79,90,159,75,84,10,4,6
......3695 Sufers,147,78,69,132,69,63,15,9,6
......3701 Andeer,923,435,488,766,360,406,157,75,82
......3711 Rongellen,59,33,26,54,32,22,5,1,4
......3712 Zillis-Reischen,426,234,192,343,183,160,83,51,32
......3713 Ferrera,76,43,33,65,36,29,11,7,4
......3714 Rheinwald,570,297,273,489,256,233,81,41,40
......3715 Muntogna da Schons,368,188,180,351,177,174,17,11,6
- Aargau,735619,370922,364697,530938,261207,269731,204681,109715,94966
>> Bezirk Aarau,84903,42134,42769,61980,30015,31965,22923,12119,10804
......4001 Aarau,22709,11333,11376,17396,8462,8934,5313,2871,2442
......4002 Biberstein,1656,824,832,1467,732,735,189,92,97
......4003 Buchs (AG),8487,4198,4289,5312,2544,2768,3175,1654,1521
......4004 Densbüren,769,375,394,680,325,355,89,50,39
......4005 Erlinsbach (AG),4640,2282,2358,3770,1834,1936,870,448,422
......4006 Gränichen,8686,4281,4405,6497,3128,3369,2189,1153,1036
......4007 Hirschthal,1763,901,862,1544,778,766,219,123,96
......4008 Küttigen,6996,3404,3592,5793,2790,3003,1203,614,589
......4009 Muhen,4090,2052,2038,3476,1728,1748,614,324,290
......4010 Oberentfelden,8943,4453,4490,5605,2703,2902,3338,1750,1588
......4012 Suhr,11616,5757,5859,7304,3462,3842,4312,2295,2017
......4013 Unterentfelden,4548,2274,2274,3136,1529,1607,1412,745,667
>> Bezirk Baden,154042,77375,76667,106773,52323,54450,47269,25052,22217
......4021 Baden,23850,12066,11784,16761,8249,8512,7089,3817,3272
......4022 Bellikon,1580,788,792,1364,667,697,216,121,95
......4023 Bergdietikon,2996,1486,1510,2398,1182,1216,598,304,294
......4024 Birmenstorf (AG),3065,1529,1536,2390,1178,1212,675,351,324
......4026 Ennetbaden,3700,1819,1881,2876,1388,1488,824,431,393
......4027 Fislisbach,6140,3060,3080,4376,2121,2255,1764,939,825
......4028 Freienwil,1099,527,572,957,449,508,142,78,64
......4029 Gebenstorf,5805,2943,2862,4134,2050,2084,1671,893,778
......4030 Killwangen,2300,1173,1127,1624,816,808,676,357,319
......4031 Künten,1956,1000,956,1570,785,785,386,215,171
......4032 Mägenwil,2232,1168,1064,1613,822,791,619,346,273
......4033 Mellingen,6319,3153,3166,4126,2004,2122,2193,1149,1044
......4034 Neuenhof,9207,4637,4570,4371,2051,2320,4836,2586,2250
......4035 Niederrohrdorf,4695,2346,2349,3760,1872,1888,935,474,461
......4037 Oberrohrdorf,4284,2130,2154,3404,1679,1725,880,451,429
......4038 Obersiggenthal,8962,4434,4528,5981,2902,3079,2981,1532,1449
......4039 Remetschwil,2095,1082,1013,1752,892,860,343,190,153
......4040 Spreitenbach,12584,6398,6186,6049,2941,3108,6535,3457,3078
......4041 Stetten (AG),2541,1288,1253,1969,977,992,572,311,261
......4044 Untersiggenthal,7810,3932,3878,5330,2628,2702,2480,1304,1176
......4045 Wettingen,21847,10895,10952,15184,7347,7837,6663,3548,3115
......4046 Wohlenschwil,1855,940,915,1427,705,722,428,235,193
......4047 Würenlingen,5262,2652,2610,3795,1886,1909,1467,766,701
......4048 Würenlos,6930,3494,3436,5548,2762,2786,1382,732,650
......4049 Ehrendingen,4928,2435,2493,4014,1970,2044,914,465,449
>> Bezirk Bremgarten,83935,42309,41626,61008,30027,30981,22927,12282,10645
......4061 Arni (AG),1984,1003,981,1674,828,846,310,175,135
......4062 Berikon,4999,2487,2512,3955,1955,2000,1044,532,512
......4063 Bremgarten (AG),8870,4370,4500,6832,3284,3548,2038,1086,952
......4064 Büttikon,1170,584,586,945,466,479,225,118,107
......4065 Dottikon,4257,2225,2032,2500,1238,1262,1757,987,770
......4066 Eggenwil,1055,545,510,846,435,411,209,110,99
......4067 Fischbach-Göslikon,1733,871,862,1379,685,694,354,186,168
......4068 Hägglingen,2588,1307,1281,2164,1076,1088,424,231,193
......4071 Jonen,2347,1184,1163,1983,999,984,364,185,179
......4072 Niederwil (AG),3022,1540,1482,2416,1210,1206,606,330,276
......4073 Oberlunkhofen,2206,1070,1136,1858,893,965,348,177,171
......4074 Oberwil-Lieli,2626,1337,1289,2291,1163,1128,335,174,161
......4075 Rudolfstetten-Friedlisberg,4640,2304,2336,3255,1591,1664,1385,713,672
......4076 Sarmenstorf,3182,1625,1557,2677,1350,1327,505,275,230
......4077 Tägerig,1547,772,775,1231,607,624,316,165,151
......4078 Uezwil,554,275,279,465,234,231,89,41,48
......4079 Unterlunkhofen,1688,848,840,1428,711,717,260,137,123
......4080 Villmergen,8240,4213,4027,5345,2629,2716,2895,1584,1311
......4081 Widen,3815,1881,1934,3137,1522,1615,678,359,319
......4082 Wohlen (AG),17813,9089,8724,10173,4968,5205,7640,4121,3519
......4083 Zufikon,4907,2420,2487,3859,1877,1982,1048,543,505
......4084 Islisberg,692,359,333,595,306,289,97,53,44
>> Bezirk Brugg,53121,26866,26255,38478,19015,19463,14643,7851,6792
......4091 Auenstein,1744,891,853,1489,756,733,255,135,120
......4092 Birr,4846,2525,2321,2600,1316,1284,2246,1209,1037
......4093 Birrhard,969,481,488,694,335,359,275,146,129
......4095 Brugg,13521,6797,6724,9111,4441,4670,4410,2356,2054
......4099 Habsburg,431,212,219,385,190,195,46,22,24
......4100 Hausen (AG),3772,1872,1900,2783,1353,1430,989,519,470
......4104 Lupfig,3400,1710,1690,2602,1300,1302,798,410,388
......4105 Mandach,328,178,150,291,156,135,37,22,15
......4106 Mönthal,393,189,204,334,158,176,59,31,28
......4107 Mülligen,1088,571,517,856,439,417,232,132,100
......4110 Remigen,1380,706,674,1087,541,546,293,165,128
......4111 Riniken,1568,784,784,1239,598,641,329,186,143
......4112 Rüfenach,888,466,422,760,394,366,128,72,56
......4117 Thalheim (AG),956,485,471,857,437,420,99,48,51
......4120 Veltheim (AG),1597,815,782,1243,618,625,354,197,157
......4121 Villigen,2229,1129,1100,1633,819,814,596,310,286
......4122 Villnachern,1705,868,837,1404,699,705,301,169,132
......4123 Windisch,8149,4078,4071,5644,2748,2896,2505,1330,1175
......4124 Bözberg,1696,868,828,1475,745,730,221,123,98
......4125 Schinznach,2461,1241,1220,1991,972,1019,470,269,201
>> Bezirk Kulm,46747,23612,23135,32715,16067,16648,14032,7545,6487
......4131 Beinwil am See,3719,1869,1850,3015,1489,1526,704,380,324
......4132 Birrwil,1414,727,687,1121,567,554,293,160,133
......4134 Dürrenäsch,1375,700,675,1195,608,587,180,92,88
......4135 Gontenschwil,2209,1149,1060,1747,897,850,462,252,210
......4136 Holziken,1762,862,900,1370,656,714,392,206,186
......4137 Leimbach (AG),543,273,270,448,224,224,95,49,46
......4138 Leutwil,755,388,367,678,348,330,77,40,37
......4139 Menziken,8669,4435,4234,5115,2513,2602,3554,1922,1632
......4140 Oberkulm,3022,1492,1530,2179,1034,1145,843,458,385
......4141 Reinach (AG),9636,4915,4721,5301,2589,2712,4335,2326,2009
......4142 Schlossrued,893,455,438,787,399,388,106,56,50
......4143 Schmiedrued,1160,572,588,1035,511,524,125,61,64
......4144 Schöftland,4607,2250,2357,3702,1756,1946,905,494,411
......4145 Teufenthal (AG),1802,935,867,1299,652,647,503,283,220
......4146 Unterkulm,3800,1894,1906,2541,1240,1301,1259,654,605
......4147 Zetzwil,1381,696,685,1182,584,598,199,112,87
>> Bezirk Laufenburg,37032,18795,18237,28483,14157,14326,8549,4638,3911
......4161 Eiken,2515,1289,1226,1887,951,936,628,338,290
......4163 Frick,5923,2942,2981,4223,2057,2166,1700,885,815
......4164 Gansingen,1128,559,569,951,460,491,177,99,78
......4165 Gipf-Oberfrick,3887,1950,1937,3241,1599,1642,646,351,295
......4169 Kaisten,2946,1483,1463,2331,1156,1175,615,327,288
......4170 Laufenburg,3856,2041,1815,2479,1250,1229,1377,791,586
......4172 Münchwilen (AG),1077,545,532,754,370,384,323,175,148
......4173 Oberhof,585,307,278,531,277,254,54,30,24
......4175 Oeschgen,1185,598,587,985,485,500,200,113,87
......4176 Schwaderloch,727,375,352,493,236,257,234,139,95
......4177 Sisseln,1653,870,783,1150,604,546,503,266,237
......4181 Wittnau,1428,717,711,1264,627,637,164,90,74
......4182 Wölflinswil,1077,567,510,948,496,452,129,71,58
......4183 Zeihen,1265,630,635,1024,500,524,241,130,111
......4184 Mettauertal,2176,1095,1081,1729,857,872,447,238,209
......4185 Böztal,2939,1477,1462,2340,1157,1183,599,320,279
......4186 Herznach-Ueken,2665,1350,1315,2153,1075,1078,512,275,237
>> Bezirk Lenzburg,70063,35644,34419,52467,26143,26324,17596,9501,8095
......4191 Ammerswil,800,411,389,672,345,327,128,66,62
......4192 Boniswil,1769,866,903,1435,693,742,334,173,161
......4193 Brunegg,920,474,446,679,347,332,241,127,114
......4194 Dintikon,2428,1250,1178,1736,876,860,692,374,318
......4195 Egliswil,1604,799,805,1343,668,675,261,131,130
......4196 Fahrwangen,2533,1271,1262,1840,899,941,693,372,321
......4197 Hallwil,1023,511,512,789,379,410,234,132,102
......4198 Hendschiken,1387,715,672,1058,537,521,329,178,151
......4199 Holderbank (AG),1568,830,738,1017,524,493,551,306,245
......4200 Hunzenschwil,4377,2254,2123,2977,1503,1474,1400,751,649
......4201 Lenzburg,11313,5728,5585,7868,3900,3968,3445,1828,1617
......4202 Meisterschwanden,3304,1699,1605,2713,1376,1337,591,323,268
......4203 Möriken-Wildegg,4987,2562,2425,3760,1849,1911,1227,713,514
......4204 Niederlenz,4958,2492,2466,3511,1740,1771,1447,752,695
......4205 Othmarsingen,3165,1637,1528,2286,1167,1119,879,470,409
......4206 Rupperswil,6227,3209,3018,4676,2347,2329,1551,862,689
......4207 Schafisheim,3155,1623,1532,2453,1240,1213,702,383,319
......4208 Seengen,4494,2224,2270,3932,1909,2023,562,315,247
......4209 Seon,5650,2834,2816,4187,2052,2135,1463,782,681
......4210 Staufen,4401,2255,2146,3535,1792,1743,866,463,403
>> Bezirk Muri,39633,20063,19570,31726,15736,15990,7907,4327,3580
......4221 Abtwil,1120,558,562,904,439,465,216,119,97
......4222 Aristau,1603,830,773,1325,658,667,278,172,106
......4223 Auw,2301,1199,1102,1789,910,879,512,289,223
......4224 Beinwil (Freiamt),1309,653,656,1125,550,575,184,103,81
......4226 Besenbüren,637,330,307,567,290,277,70,40,30
......4227 Bettwil,716,369,347,644,324,320,72,45,27
......4228 Boswil,3113,1590,1523,2479,1220,1259,634,370,264
......4229 Bünzen,1245,629,616,998,489,509,247,140,107
......4230 Buttwil,1297,642,655,1123,559,564,174,83,91
......4231 Dietwil,1412,756,656,1149,595,554,263,161,102
......4232 Geltwil,241,120,121,208,102,106,33,18,15
......4233 Kallern,423,208,215,378,189,189,45,19,26
......4234 Merenschwand,3893,1987,1906,3043,1521,1522,850,466,384
......4235 Mühlau,1347,688,659,1072,536,536,275,152,123
......4236 Muri (AG),8712,4326,4386,6621,3233,3388,2091,1093,998
......4237 Oberrüti,1630,840,790,1384,703,681,246,137,109
......4238 Rottenschwil,959,508,451,789,410,379,170,98,72
......4239 Sins,4489,2243,2246,3528,1739,1789,961,504,457
......4240 Waltenschwil,3186,1587,1599,2600,1269,1331,586,318,268
>> Bezirk Rheinfelden,49688,24938,24750,35652,17467,18185,14036,7471,6565
......4251 Hellikon,849,423,426,765,379,386,84,44,40
......4252 Kaiseraugst,5822,2968,2854,4019,1982,2037,1803,986,817
......4253 Magden,3887,1899,1988,3298,1591,1707,589,308,281
......4254 Möhlin,11382,5691,5691,8264,4025,4239,3118,1666,1452
......4255 Mumpf,1563,828,735,1010,503,507,553,325,228
......4256 Obermumpf,1081,563,518,865,439,426,216,124,92
......4257 Olsberg,360,185,175,303,157,146,57,28,29
......4258 Rheinfelden,13815,6844,6971,9086,4377,4709,4729,2467,2262
......4259 Schupfart,883,464,419,730,377,353,153,87,66
......4260 Stein (AG),3512,1821,1691,1984,995,989,1528,826,702
......4261 Wallbach,2065,1055,1010,1660,851,809,405,204,201
......4262 Wegenstetten,1016,498,518,906,438,468,110,60,50
......4263 Zeiningen,2544,1256,1288,2013,990,1023,531,266,265
......4264 Zuzgen,909,443,466,749,363,386,160,80,80
>> Bezirk Zofingen,78486,39745,38741,56213,27721,28492,22273,12024,10249
......4271 Aarburg,8915,4554,4361,4824,2372,2452,4091,2182,1909
......4273 Bottenwil,863,420,443,770,376,394,93,44,49
......4274 Brittnau,4339,2181,2158,3771,1861,1910,568,320,248
......4275 Kirchleerau,938,475,463,789,392,397,149,83,66
......4276 Kölliken,5105,2563,2542,3869,1907,1962,1236,656,580
......4277 Moosleerau,956,510,446,781,408,373,175,102,73
......4279 Murgenthal,3127,1634,1493,2413,1219,1194,714,415,299
......4280 Oftringen,15116,7702,7414,9047,4456,4591,6069,3246,2823
......4281 Reitnau,1620,828,792,1412,706,706,208,122,86
......4282 Rothrist,9894,5046,4848,7310,3646,3664,2584,1400,1184
......4283 Safenwil,4630,2307,2323,3247,1577,1670,1383,730,653
......4284 Staffelbach,1364,701,663,1147,574,573,217,127,90
......4285 Strengelbach,5097,2612,2485,3551,1758,1793,1546,854,692
......4286 Uerkheim,1441,731,710,1272,637,635,169,94,75
......4287 Vordemwald,2037,1018,1019,1817,896,921,220,122,98
......4288 Wiliberg,170,91,79,156,83,73,14,8,6
......4289 Zofingen,12874,6372,6502,10037,4853,5184,2837,1519,1318
>> Bezirk Zurzach,37969,19441,18528,25443,12536,12907,12526,6905,5621
......4303 Böttstein,4326,2233,2093,2457,1226,1231,1869,1007,862
......4304 Döttingen,4559,2336,2223,2531,1243,1288,2028,1093,935
......4305 Endingen,2716,1335,1381,2145,1041,1104,571,294,277
......4306 Fisibach,605,304,301,398,202,196,207,102,105
......4307 Full-Reuenthal,1013,526,487,777,393,384,236,133,103
......4309 Klingnau,3700,1895,1805,2555,1257,1298,1145,638,507
......4310 Koblenz,1819,974,845,951,488,463,868,486,382
......4311 Leibstadt,1605,869,736,953,500,453,652,369,283
......4312 Lengnau (AG),2955,1460,1495,2473,1219,1254,482,241,241
......4313 Leuggern,2444,1232,1212,1755,857,898,689,375,314
......4314 Mellikon,224,112,112,198,99,99,26,13,13
......4318 Schneisingen,1564,758,806,1325,635,690,239,123,116
......4319 Siglistorf,799,409,390,625,314,311,174,95,79
......4320 Tegerfelden,1304,650,654,1054,515,539,250,135,115
......4324 Zurzach,8336,4348,3988,5246,2547,2699,3090,1801,1289
- Thurgau,299442,151203,148239,216895,106967,109928,82547,44236,38311
>> Bezirk Arbon,62328,31231,31097,43617,21272,22345,18711,9959,8752
......4401 Arbon,16348,8214,8134,10387,5005,5382,5961,3209,2752
......4406 Dozwil,732,376,356,585,294,291,147,82,65
......4411 Egnach,5180,2624,2556,4334,2163,2171,846,461,385
......4416 Hefenhofen,1340,675,665,1105,550,555,235,125,110
......4421 Horn,3164,1571,1593,2540,1245,1295,624,326,298
......4426 Kesswil,1005,483,522,825,400,425,180,83,97
......4431 Roggwil (TG),3450,1741,1709,3044,1527,1517,406,214,192
......4436 Romanshorn,11938,5942,5996,7813,3733,4080,4125,2209,1916
......4441 Salmsach,1631,849,782,1111,571,540,520,278,242
......4446 Sommeri,673,340,333,548,270,278,125,70,55
......4451 Uttwil,1920,966,954,1536,765,771,384,201,183
......4461 Amriswil,14947,7450,7497,9789,4749,5040,5158,2701,2457
>> Bezirk Frauenfeld,73313,36868,36445,56231,27608,28623,17082,9260,7822
......4536 Basadingen-Schlattingen,1901,973,928,1539,780,759,362,193,169
......4545 Diessenhofen,4140,2131,2009,2529,1253,1276,1611,878,733
......4546 Schlatt (TG),1886,955,931,1597,797,800,289,158,131
......4561 Felben-Wellhausen,3231,1657,1574,2540,1272,1268,691,385,306
......4566 Frauenfeld,27093,13416,13677,19623,9447,10176,7470,3969,3501
......4571 Gachnang,4635,2337,2298,3844,1887,1957,791,450,341
......4590 Hüttlingen,906,475,431,773,403,370,133,72,61
......4591 Matzingen,3164,1631,1533,2224,1105,1119,940,526,414
......4601 Neunforn,1112,587,525,1020,535,485,92,52,40
......4606 Stettfurt,1276,637,639,1152,577,575,124,60,64
......4611 Thundorf,1737,885,852,1556,785,771,181,100,81
......4616 Uesslingen-Buch,1139,565,574,1021,497,524,118,68,50
......4621 Warth-Weiningen,1474,737,737,1315,653,662,159,84,75
......4801 Berlingen,956,479,477,686,333,353,270,146,124
......4806 Eschenz,1924,976,948,1541,766,775,383,210,173
......4811 Herdern,1176,610,566,990,502,488,186,108,78
......4816 Homburg,1572,772,800,1405,676,729,167,96,71
......4821 Hüttwilen,1780,907,873,1568,790,778,212,117,95
......4826 Mammern,703,371,332,490,261,229,213,110,103
......4831 Müllheim,3338,1692,1646,2696,1338,1358,642,354,288
......4841 Pfyn,2259,1136,1123,1837,892,945,422,244,178
......4864 Steckborn,4054,2025,2029,2901,1389,1512,1153,636,517
......4871 Wagenhausen,1857,914,943,1384,670,714,473,244,229
>> Bezirk Kreuzlingen,52736,26546,26190,30186,14724,15462,22550,11822,10728
......4641 Altnau,2355,1151,1204,1815,876,939,540,275,265
......4643 Bottighofen,2696,1334,1362,1692,833,859,1004,501,503
......4646 Ermatingen,3781,1875,1906,2548,1241,1307,1233,634,599
......4651 Gottlieben,347,168,179,194,93,101,153,75,78
......4656 Güttingen,1799,925,874,1377,683,694,422,242,180
......4666 Kemmental,2837,1447,1390,2228,1122,1106,609,325,284
......4671 Kreuzlingen,23399,11868,11531,9999,4793,5206,13400,7075,6325
......4681 Langrickenbach,1503,752,751,1206,597,609,297,155,142
......4683 Lengwil,1797,881,916,1279,626,653,518,255,263
......4691 Münsterlingen,3724,1855,1869,2202,1060,1142,1522,795,727
......4696 Tägerwilen,5452,2757,2695,3317,1634,1683,2135,1123,1012
......4701 Wäldi,1171,605,566,921,470,451,250,135,115
......4846 Raperswilen,421,211,210,368,179,189,53,32,21
......4851 Salenstein,1454,717,737,1040,517,523,414,200,214
>> Bezirk Münchwilen,50883,25740,25143,40627,20204,20423,10256,5536,4720
......4551 Aadorf,9799,4924,4875,8020,3955,4065,1779,969,810
......4716 Bettwiesen,1342,699,643,1033,537,496,309,162,147
......4721 Bichelsee-Balterswil,3030,1574,1456,2636,1357,1279,394,217,177
......4723 Braunau,904,457,447,797,403,394,107,54,53
......4724 Eschlikon,4916,2489,2427,4146,2071,2075,770,418,352
......4726 Fischingen,3028,1557,1471,2680,1362,1318,348,195,153
......4741 Lommis,1331,683,648,1137,569,568,194,114,80
......4746 Münchwilen (TG),5975,2963,3012,4568,2209,2359,1407,754,653
......4751 Rickenbach (TG),3059,1551,1508,1831,886,945,1228,665,563
......4761 Sirnach,8199,4174,4025,6131,3049,3082,2068,1125,943
......4776 Tobel-Tägerschen,1730,873,857,1383,692,691,347,181,166
......4781 Wängi,5065,2555,2510,4136,2074,2062,929,481,448
......4786 Wilen (TG),2505,1241,1264,2129,1040,1089,376,201,175
>> Bezirk Weinfelden,60182,30818,29364,46234,23159,23075,13948,7659,6289
......4471 Bischofszell,6415,3250,3165,4575,2248,2327,1840,1002,838
......4476 Erlen,3978,2047,1931,2816,1432,1384,1162,615,547
......4486 Hauptwil-Gottshaus,2104,1085,1019,1862,948,914,242,137,105
......4495 Hohentannen,655,332,323,600,305,295,55,27,28
......4501 Kradolf-Schönenberg,3930,2038,1892,2799,1404,1395,1131,634,497
......4506 Sulgen,4152,2076,2076,2926,1418,1508,1226,658,568
......4511 Zihlschlacht-Sitterdorf,2624,1375,1249,2160,1117,1043,464,258,206
......4711 Affeltrangen,2880,1501,1379,2296,1164,1132,584,337,247
......4756 Schönholzerswilen,867,455,412,779,407,372,88,48,40
......4791 Wuppenau,1213,621,592,1111,558,553,102,63,39
......4881 Amlikon-Bissegg,1414,731,683,1239,628,611,175,103,72
......4891 Berg (TG),3590,1829,1761,3020,1516,1504,570,313,257
......4901 Birwinken,1427,722,705,1221,613,608,206,109,97
......4911 Bürglen (TG),4172,2153,2019,2819,1392,1427,1353,761,592
......4921 Bussnang,2613,1373,1240,2125,1084,1041,488,289,199
......4941 Märstetten,3007,1526,1481,2431,1215,1216,576,311,265
......4946 Weinfelden,12501,6352,6149,9290,4632,4658,3211,1720,1491
......4951 Wigoltingen,2640,1352,1288,2165,1078,1087,475,274,201
- Ticino,358877,175001,183876,253350,120515,132835,105527,54486,51041
>> Distretto di Bellinzona,58348,28600,29748,42076,20099,21977,16272,8501,7771
......5001 Arbedo-Castione,5160,2578,2582,3753,1821,1932,1407,757,650
......5002 Bellinzona,45299,22018,23281,32884,15601,17283,12415,6417,5998
......5003 Cadenazzo,3131,1634,1497,1788,908,880,1343,726,617
......5009 Isone,404,200,204,362,181,181,42,19,23
......5010 Lumino,1683,826,857,1335,636,699,348,190,158
......5017 Sant'Antonino,2671,1344,1327,1954,952,1002,717,392,325
>> Distretto di Blenio,5613,2841,2772,5084,2537,2547,529,304,225
......5048 Acquarossa,1796,907,889,1575,771,804,221,136,85
......5049 Blenio,1747,879,868,1635,818,817,112,61,51
......5050 Serravalle,2070,1055,1015,1874,948,926,196,107,89
>> Distretto di Leventina,8752,4475,4277,6432,3211,3221,2320,1264,1056
......5061 Airolo,1452,758,694,1057,525,532,395,233,162
......5063 Bedretto,108,60,48,96,50,46,12,10,2
......5064 Bodio,961,502,459,514,252,262,447,250,197
......5071 Dalpe,185,85,100,172,77,95,13,8,5
......5072 Faido,2706,1342,1364,2137,1073,1064,569,269,300
